Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,CustomerSince,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,AcceptedCmpCurrent,NumPurchases,AmountSpent,AmountPerPurchase,PersonsInHome
1957,UnderGraduate,Single,58138.0,0,0,2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,22,1617,73.16742081447963,2
1954,UnderGraduate,Single,46344.0,1,1,2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,4,27,6.585365853658537,4
1965,UnderGraduate,In Relationship,71613.0,0,0,2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,20,776,38.60696517412935,2
1984,UnderGraduate,In Relationship,26646.0,1,0,2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,6,53,8.688524590163935,3
1981,PhD,In Relationship,58293.0,1,0,2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,14,422,29.929078014184398,3
1967,Master,In Relationship,62513.0,0,1,2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,20,716,35.62189054726368,3
1971,UnderGraduate,Single,55635.0,0,1,2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,17,590,34.50292397660819,3
1985,PhD,In Relationship,33454.0,1,0,2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,8,169,20.8641975308642,3
1974,PhD,In Relationship,30351.0,1,0,2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,5,46,9.019607843137255,3
1950,PhD,In Relationship,5648.0,1,1,2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,1,49,44.54545454545454,4
1976,High School,In Relationship,7500.0,0,0,2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,5,61,11.96078431372549,2
1959,UnderGraduate,Single,63033.0,0,0,2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,15,1102,72.98013245033113,2
1952,Master,Single,59354.0,1,1,2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,12,310,25.619834710743802,4
1987,UnderGraduate,In Relationship,17323.0,0,0,2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,4,46,11.219512195121952,2
1946,PhD,Single,82800.0,0,0,2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,25,1315,52.39043824701195,2
1980,UnderGraduate,In Relationship,41850.0,1,1,2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,6,96,15.737704918032788,4
1946,UnderGraduate,In Relationship,37760.0,0,0,2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,11,317,28.55855855855856,2
1949,Master,In Relationship,76995.0,0,1,2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,24,1782,73.94190871369294,3
1985,Master,Single,33812.0,1,0,2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,6,133,21.803278688524593,3
1982,UnderGraduate,In Relationship,37040.0,0,0,2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,11,316,28.46846846846847,2
1979,UnderGraduate,In Relationship,2447.0,1,0,2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,28,1730,61.56583629893238,3
1949,PhD,In Relationship,58607.0,0,1,2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,14,972,68.93617021276596,3
1954,PhD,In Relationship,65324.0,0,1,2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,17,544,31.81286549707602,3
1951,UnderGraduate,In Relationship,40689.0,0,1,2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,13,444,33.89312977099237,3
1969,UnderGraduate,Single,18589.0,0,0,2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,6,75,12.295081967213115,2
1976,UnderGraduate,In Relationship,53359.0,1,1,2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,10,257,25.445544554455445,4
1989,UnderGraduate,In Relationship,38360.0,1,0,2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,7,131,18.450704225352112,3
1965,PhD,In Relationship,84618.0,0,0,2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,25,1672,66.61354581673307,2
1989,Master,Single,10979.0,0,0,2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,6,30,4.918032786885246,2
1963,Master,In Relationship,38620.0,0,0,2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,10,318,31.485148514851485,2
1970,UnderGraduate,In Relationship,40548.0,0,1,2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,7,120,16.901408450704228,3
1952,PhD,Single,46610.0,0,2,2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,11,302,27.207207207207208,4
1946,Master,In Relationship,68657.0,0,0,2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,17,1196,69.94152046783626,2
1951,Master,Single,49389.0,1,1,2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,5,65,12.745098039215687,4
1970,PhD,In Relationship,67353.0,0,1,2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,23,913,39.52380952380952,3
1976,Master,In Relationship,23718.0,1,0,2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,6,81,13.278688524590164,3
1973,UnderGraduate,Single,42429.0,0,1,2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,5,67,13.137254901960786,3
1943,PhD,Single,48948.0,0,0,2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,22,902,40.81447963800905,2
1980,UnderGraduate,In Relationship,80011.0,0,1,2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,19,1395,73.03664921465968,3
1985,Master,In Relationship,20559.0,1,0,2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,5,53,10.392156862745098,3
1957,UnderGraduate,In Relationship,21994.0,0,1,2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,3,22,7.096774193548387,3
1975,Master,In Relationship,7500.0,1,0,2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,5,31,6.07843137254902,3
1976,UnderGraduate,Single,79941.0,0,0,2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,15,984,65.16556291390728,2
1996,Master,In Relationship,7500.0,0,0,2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,7,122,17.183098591549296,2
1968,UnderGraduate,In Relationship,41728.0,1,0,2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,4,55,13.414634146341465,3
1954,PhD,In Relationship,72550.0,1,1,2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,19,1319,69.05759162303664,4
1957,UnderGraduate,Single,65486.0,0,1,2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,16,507,31.490683229813662,3
1964,Master,In Relationship,79143.0,0,0,2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,28,1693,60.24911032028469,2
1977,UnderGraduate,Single,35790.0,1,0,2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,5,72,14.11764705882353,3
1977,UnderGraduate,Single,82582.0,0,0,2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,20,1617,80.44776119402985,2
1978,UnderGraduate,In Relationship,66373.0,1,1,2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,16,606,37.639751552795026,4
1955,Master,In Relationship,82384.0,0,0,2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,26,1957,74.98084291187739,2
1966,UnderGraduate,Single,70287.0,0,0,2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,20,1093,54.37810945273632,2
1988,UnderGraduate,Single,27938.0,1,0,2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,5,29,5.686274509803922,3
1968,PhD,In Relationship,55954.0,0,1,2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,16,518,32.17391304347826,3
1982,Master,Single,75777.0,0,0,2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,20,1438,71.54228855721392,2
1975,UnderGraduate,In Relationship,66653.0,1,1,2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,18,612,33.812154696132595,4
1952,UnderGraduate,Single,61823.0,0,1,2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,20,884,43.98009950248756,3
